iter	Passed	Remaining
0	147	146986
1	148	74064
2	149	49698
3	153	38303
4	155	30852
5	156	25848
6	156	22266
7	157	19567
8	158	17478
9	159	15809
10	160	14424
11	161	13282
12	162	12308
13	162	11475
14	163	10746
15	167	10293
16	168	9743
17	169	9252
18	170	8793
19	170	8378
20	172	8029
21	173	7692
22	173	7386
23	174	7099
24	176	6866
25	176	6625
26	177	6403
27	181	6286
28	182	6104
29	183	5925
30	184	5753
31	185	5597
32	185	5449
33	187	5313
34	187	5178
35	188	5049
36	189	4932
37	190	4822
38	191	4713
39	192	4608
40	192	4508
41	194	4438
42	196	4364
43	199	4323
44	199	4243
45	200	4161
46	201	4082
47	201	4005
48	202	3934
49	204	3876
50	204	3813
51	205	3753
52	209	3748
53	211	3701
54	212	3651
55	213	3597
56	214	3547
57	215	3497
58	216	3451
59	217	3402
60	218	3357
61	218	3311
62	219	3267
63	220	3224
64	227	3274
65	229	3245
66	230	3205
67	230	3165
68	231	3126
69	232	3087
70	233	3050
71	233	3014
72	234	2978
73	235	2945
74	239	2952
75	240	2925
76	241	2899
77	243	2875
78	244	2846
79	245	2825
80	246	2800
81	248	2779
82	248	2748
83	249	2724
84	256	2761
85	258	2748
86	261	2744
87	263	2731
88	273	2801
89	276	2792
90	277	2776
91	284	2810
92	285	2787
93	286	2763
94	287	2740
95	288	2716
96	290	2699
97	290	2678
98	292	2657
99	298	2683
100	299	2669
101	301	2650
102	302	2633
103	303	2618
104	305	2601
105	306	2585
106	312	2609
107	317	2623
108	318	2605
109	319	2587
110	322	2582
111	330	2619
112	332	2610
113	336	2612
114	337	2597
115	342	2610
116	344	2598
117	347	2593
118	348	2582
119	350	2569
120	351	2552
121	353	2545
122	356	2538
123	357	2526
124	358	2511
125	360	2498
126	361	2485
127	362	2472
128	365	2467
129	367	2458
130	370	2459
131	373	2453
132	375	2445
133	378	2448
134	380	2437
135	381	2421
136	382	2406
137	383	2397
138	385	2387
139	387	2378
140	388	2365
141	389	2355
142	391	2348
143	393	2336
144	393	2323
145	395	2311
146	403	2343
147	406	2340
148	408	2333
149	410	2323
150	418	2352
151	420	2345
152	421	2333
153	423	2324
154	424	2312
155	425	2300
156	426	2287
157	432	2306
158	435	2303
159	436	2292
160	437	2278
161	438	2266
162	439	2255
163	440	2243
164	441	2232
165	443	2228
166	445	2223
167	448	2219
168	452	2223
169	453	2212
170	454	2201
171	454	2190
172	456	2179
173	456	2169
174	458	2163
175	460	2156
176	464	2159
177	465	2150
178	466	2140
179	467	2130
180	468	2121
181	469	2111
182	470	2101
183	471	2090
184	474	2088
185	476	2086
186	479	2083
187	482	2085
188	483	2075
189	484	2065
190	485	2056
191	486	2046
192	489	2046
193	491	2042
194	492	2035
195	494	2028
196	496	2022
197	497	2016
198	500	2012
199	506	2026
200	508	2021
201	509	2012
202	509	2002
203	510	1992
204	511	1983
205	512	1974
206	512	1964
207	513	1955
208	514	1946
209	515	1937
210	515	1929
211	518	1927
212	521	1925
213	522	1918
214	523	1909
215	523	1900
216	524	1892
217	525	1884
218	526	1876
219	526	1867
220	527	1859
221	528	1851
222	529	1843
223	529	1835
224	530	1827
225	532	1823
226	533	1816
227	535	1812
228	536	1805
229	536	1797
230	537	1790
231	538	1782
232	539	1775
233	539	1767
234	540	1759
235	541	1751
236	541	1743
237	542	1736
238	543	1729
239	544	1722
240	544	1716
241	547	1713
242	548	1707
243	550	1705
244	552	1701
245	552	1694
246	553	1687
247	554	1680
248	555	1675
249	556	1670
250	557	1664
251	558	1657
252	559	1651
253	560	1645
254	561	1641
255	564	1641
256	566	1639
257	567	1633
258	569	1628
259	571	1626
260	573	1624
261	575	1619
262	576	1616
263	580	1617
264	582	1614
265	585	1615
266	591	1623
267	592	1617
268	592	1611
269	593	1604
270	594	1598
271	594	1592
272	595	1585
273	596	1579
274	596	1573
275	597	1567
276	598	1561
277	599	1556
278	599	1550
279	600	1544
280	601	1538
281	602	1533
282	604	1531
283	605	1526
284	606	1520
285	606	1515
286	607	1509
287	608	1504
288	609	1498
289	609	1492
290	610	1487
291	611	1481
292	612	1477
293	612	1471
294	613	1466
295	614	1461
296	615	1455
297	615	1450
298	616	1445
299	617	1441
300	618	1436
301	619	1431
302	620	1426
303	620	1421
304	621	1415
305	622	1410
306	622	1405
307	623	1400
308	624	1395
309	624	1390
310	625	1385
311	625	1380
312	626	1375
313	627	1370
314	627	1365
315	628	1360
316	629	1355
317	629	1350
318	630	1345
319	631	1341
320	632	1336
321	633	1333
322	634	1328
323	634	1324
324	635	1319
325	635	1314
326	636	1310
327	637	1305
328	637	1300
329	638	1296
330	638	1291
331	639	1286
332	640	1282
333	640	1277
334	641	1273
335	642	1268
336	642	1264
337	643	1259
338	643	1255
339	644	1251
340	645	1246
341	645	1242
342	646	1238
343	647	1235
344	648	1232
345	650	1228
346	650	1224
347	651	1220
348	652	1216
349	653	1212
350	653	1208
351	654	1205
352	655	1201
353	656	1197
354	657	1193
355	657	1190
356	658	1186
357	659	1182
358	660	1178
359	660	1174
360	662	1173
361	663	1170
362	664	1166
363	665	1163
364	666	1159
365	667	1155
366	667	1151
367	668	1148
368	669	1144
369	669	1140
370	670	1136
371	671	1133
372	671	1129
373	672	1125
374	673	1121
375	673	1117
376	674	1114
377	674	1110
378	675	1107
379	676	1104
380	677	1101
381	678	1098
382	679	1094
383	680	1091
384	680	1087
385	681	1084
386	682	1080
387	682	1076
388	683	1073
389	683	1069
390	684	1066
391	685	1062
392	685	1059
393	686	1055
394	687	1052
395	687	1048
396	688	1045
397	688	1042
398	689	1038
399	690	1035
400	691	1032
401	692	1029
402	693	1026
403	693	1023
404	694	1020
405	694	1016
406	695	1013
407	696	1009
408	696	1006
409	697	1003
410	697	999
411	698	996
412	698	993
413	699	990
414	700	986
415	700	983
416	701	980
417	701	977
418	702	973
419	703	970
420	703	967
421	704	964
422	706	964
423	707	961
424	709	959
425	710	956
426	711	954
427	711	951
428	712	948
429	713	946
430	714	943
431	715	940
432	716	937
433	716	934
434	717	932
435	718	929
436	719	926
437	719	923
438	721	921
439	722	919
440	723	916
441	724	914
442	724	911
443	725	908
444	726	905
445	727	903
446	727	900
447	728	897
448	729	895
449	730	892
450	731	890
451	731	887
452	732	884
453	733	881
454	733	879
455	735	877
456	736	874
457	737	872
458	737	869
459	738	867
460	739	864
461	739	861
462	740	859
463	741	856
464	742	854
465	742	851
466	743	848
467	744	846
468	744	843
469	745	840
470	746	838
471	747	835
472	747	833
473	748	830
474	749	828
475	751	826
476	752	824
477	752	822
478	753	819
479	754	817
480	754	814
481	755	812
482	756	809
483	756	806
484	757	804
485	758	801
486	758	799
487	759	796
488	759	794
489	760	791
490	761	789
491	761	786
492	762	784
493	763	781
494	764	780
495	765	777
496	766	775
497	767	773
498	768	771
499	768	768
500	769	766
501	770	764
502	771	762
503	772	759
504	772	757
505	773	755
506	774	752
507	774	750
508	775	747
509	776	745
510	776	743
511	777	741
512	779	740
513	780	738
514	781	735
515	782	733
516	782	731
517	783	729
518	784	726
519	784	724
520	785	722
521	786	719
522	786	717
523	787	715
524	787	712
525	788	710
526	789	708
527	789	706
528	790	703
529	791	701
530	792	699
531	792	697
532	794	696
533	795	693
534	796	691
535	796	689
536	797	687
537	798	685
538	799	683
539	799	681
540	800	679
541	801	677
542	801	674
543	802	672
544	803	670
545	803	668
546	804	666
547	805	664
548	805	662
549	806	660
550	807	658
551	809	656
552	810	655
553	811	653
554	812	651
555	813	649
556	813	647
557	814	645
558	815	643
559	816	641
560	817	639
561	817	637
562	818	635
563	819	633
564	819	631
565	820	629
566	821	627
567	822	625
568	824	624
569	824	622
570	825	620
571	826	618
572	827	616
573	828	614
574	828	612
575	829	610
576	831	609
577	832	607
578	832	605
579	833	603
580	834	601
581	835	599
582	835	597
583	836	596
584	837	594
585	838	592
586	840	591
587	840	589
588	841	587
589	842	585
590	843	583
591	843	581
592	844	579
593	845	577
594	845	575
595	846	573
596	847	571
597	848	570
598	848	568
599	849	566
600	850	564
601	850	562
602	851	560
603	853	559
604	855	558
605	856	556
606	857	554
607	858	553
608	858	551
609	859	549
610	860	547
611	861	546
612	862	544
613	863	542
614	864	540
615	865	539
616	865	537
617	866	535
618	869	534
619	871	534
620	872	532
621	873	530
622	873	528
623	874	526
624	875	525
625	875	523
626	876	521
627	877	519
628	877	517
629	878	515
630	878	513
631	879	512
632	880	510
633	880	508
634	881	506
635	882	505
636	885	504
637	886	502
638	887	501
639	889	500
640	890	498
641	890	496
642	891	494
643	891	493
644	892	491
645	893	489
646	893	487
647	894	485
648	894	483
649	895	482
650	895	480
651	896	478
652	898	477
653	899	475
654	899	473
655	900	472
656	901	470
657	902	468
658	902	467
659	903	465
660	904	463
661	904	462
662	905	460
663	906	458
664	906	456
665	907	455
666	908	453
667	908	451
668	909	449
669	909	448
670	910	446
671	911	444
672	912	443
673	913	441
674	913	439
675	914	438
676	915	436
677	916	435
678	917	433
679	917	431
680	918	430
681	919	428
682	920	427
683	920	425
684	921	423
685	921	421
686	922	420
687	923	418
688	923	416
689	924	415
690	925	413
691	926	412
692	926	410
693	927	409
694	928	407
695	928	405
696	929	404
697	930	402
698	930	400
699	931	399
700	932	397
701	932	396
702	933	394
703	934	392
704	934	391
705	935	389
706	936	388
707	937	386
708	937	384
709	938	383
710	939	381
711	939	380
712	944	380
713	946	378
714	946	377
715	947	375
716	948	374
717	949	372
718	949	371
719	950	369
720	951	368
721	951	366
722	952	364
723	953	363
724	953	361
725	954	360
726	955	358
727	958	358
728	959	356
729	960	355
730	960	353
731	961	352
732	962	350
733	962	348
734	963	347
735	964	345
736	964	344
737	965	342
738	965	341
739	966	339
740	967	338
741	968	336
742	968	335
743	969	333
744	970	332
745	973	331
746	973	329
747	974	328
748	975	326
749	976	325
750	976	323
751	977	322
752	978	320
753	978	319
754	979	317
755	980	316
756	980	314
757	981	313
758	982	311
759	982	310
760	983	308
761	984	307
762	984	305
763	986	304
764	987	303
765	988	302
766	989	300
767	990	299
768	990	297
769	991	296
770	992	294
771	992	293
772	993	291
773	994	290
774	994	288
775	995	287
776	996	285
777	996	284
778	997	283
779	998	281
780	998	280
781	999	278
782	1001	277
783	1002	276
784	1002	274
785	1003	273
786	1004	271
787	1005	270
788	1005	268
789	1006	267
790	1007	266
791	1007	264
792	1008	263
793	1009	261
794	1009	260
795	1010	258
796	1011	257
797	1011	256
798	1012	254
799	1013	253
800	1014	251
801	1014	250
802	1015	249
803	1016	247
804	1017	246
805	1018	245
806	1019	243
807	1019	242
808	1020	240
809	1021	239
810	1021	238
811	1022	236
812	1023	235
813	1024	234
814	1024	232
815	1025	231
816	1026	229
817	1026	228
818	1027	227
819	1028	225
820	1029	224
821	1030	223
822	1031	221
823	1032	220
824	1033	219
825	1034	217
826	1034	216
827	1035	215
828	1036	213
829	1036	212
830	1037	210
831	1037	209
832	1038	208
833	1039	206
834	1039	205
835	1040	204
836	1040	202
837	1041	201
838	1042	199
839	1042	198
840	1043	197
841	1044	195
842	1045	194
843	1047	193
844	1048	192
845	1048	190
846	1050	189
847	1050	188
848	1051	187
849	1052	185
850	1052	184
851	1053	183
852	1054	181
853	1054	180
854	1055	179
855	1056	177
856	1057	176
